frame_idx,id,label,confidence,x1,y1,x2,y2,center_x,unity_x,unity_z
668,1,Person,0.14,105.7,727.1,287.0,1161.8,196.4,-2.55,8.08
669,1,Person,0.117,109.9,727.0,286.2,1180.0,198.0,-2.53,7.98
677,1,Person,0.258,90.5,683.5,255.2,1150.8,172.9,-2.72,8.15
678,1,Person,0.12,93.9,697.4,253.0,1150.1,173.4,-2.72,8.15
680,1,Bollard,0.2,127.0,870.6,269.1,1152.4,198.1,-2.53,8.14
694,1,Person,0.139,140.8,685.2,298.4,1132.3,219.6,-2.37,8.26
695,1,Person,0.134,129.2,665.2,294.9,1120.4,212.1,-2.43,8.33
695,2,Bollard,0.108,134.6,835.1,288.6,1119.8,211.6,-2.43,8.33
697,1,Bollard,0.173,122.8,825.7,277.4,1107.9,200.1,-2.52,8.41
697,2,Bollard,0.119,373.3,807.7,405.4,895.1,389.4,-1.12,9.67
698,1,Bollard,0.183,115.7,844.4,250.4,1115.6,183.0,-2.64,8.36
699,1,Bollard,0.244,109.7,851.9,247.1,1128.8,178.4,-2.68,8.28
700,1,Bollard,0.25,108.8,857.5,254.2,1143.8,181.5,-2.66,8.19
701,1,Bollard,0.186,101.0,878.2,245.2,1167.2,173.1,-2.72,8.05
701,2,Person,0.146,94.0,709.3,266.3,1162.8,180.1,-2.67,8.08
702,1,Bollard,0.266,107.2,898.0,246.2,1185.1,176.7,-2.69,7.95
704,1,Bollard,0.103,116.2,888.2,257.0,1170.6,186.6,-2.62,8.03
710,1,Person,0.193,132.6,745.5,297.6,1195.6,215.1,-2.41,7.88
711,1,Person,0.154,138.3,762.4,298.2,1184.8,218.3,-2.38,7.95
711,2,Bollard,0.151,149.0,885.9,298.0,1178.4,223.5,-2.34,7.99
715,1,Bollard,0.182,187.3,890.4,323.6,1169.2,255.4,-2.11,8.04
716,1,Bollard,0.206,199.8,886.4,334.8,1168.1,267.3,-2.02,8.05
720,1,Bollard,0.123,204.2,873.1,334.9,1167.5,269.6,-2.0,8.05
728,1,Bollard,0.106,224.2,845.0,372.2,1119.9,298.2,-1.79,8.33
731,1,Bollard,0.13,212.9,800.5,371.7,1085.6,292.3,-1.83,8.54
733,1,Bollard,0.266,204.5,828.8,354.6,1082.3,279.6,-1.93,8.56
736,1,Person,0.115,138.7,636.2,316.6,1088.2,227.6,-2.31,8.52
737,1,Person,0.153,136.4,636.8,311.4,1083.5,223.9,-2.34,8.55
738,1,Bollard,0.104,143.8,781.2,293.5,1085.2,218.6,-2.38,8.54
740,1,Bollard,0.185,313.7,782.6,358.5,903.3,336.1,-1.51,9.62
741,1,Bollard,0.111,298.7,810.4,346.2,923.0,322.5,-1.61,9.51
741,2,Person,0.105,84.5,669.7,251.4,1108.2,167.9,-2.76,8.4
741,3,Bollard,0.102,95.6,781.8,245.4,1115.5,170.5,-2.74,8.36
743,1,Person,0.145,101.1,717.5,269.9,1138.1,185.5,-2.63,8.23
746,1,Person,0.318,87.6,704.4,261.5,1129.9,174.5,-2.71,8.27
747,1,Person,0.256,96.1,725.8,266.0,1146.2,181.0,-2.66,8.18
747,2,Bollard,0.146,311.6,861.4,359.2,981.7,335.4,-1.52,9.16
748,1,Bollard,0.124,104.3,773.1,273.7,1163.2,189.0,-2.6,8.08
748,2,Bollard,0.118,313.9,875.5,361.5,995.0,337.7,-1.5,9.08
749,1,Bollard,0.304,301.4,868.1,356.3,1013.8,328.9,-1.56,8.97
749,2,Bollard,0.201,93.3,770.2,261.1,1182.1,177.2,-2.69,7.96
749,3,Bollard,0.199,572.4,875.2,610.9,1005.1,591.7,0.38,9.02
